rank	ID	score
1	kotamanegi	19018.582863696629
2	kimiyuki	17992.471790493211
3	prime	17619.135693508837
4	takumi152	17596.834385411523
5	arukuka	17243.291168249041
6	tantal	17003.841807769317
7	Shun_PI	16708.246482121776
8	qLethon	16608.456296173899
9	komori3	16444.015049091358
10	square1001	16424.175111637502
11	nagiss	16243.284305831734
12	Nyaan	16231.571661065711
13	sangonana	16185.52659904364
14	MHash	16033.631425794885
15	KawattaTaido	15989.806779038912
16	Tyranno	15867.769101250104
17	HayatoY	15795.34532745552
18	Jirotech	15789.860058187045
19	terry_u16	15762.231052101646
20	kuhaku	15676.937304340292
21	4bungi	15634.508692176743
22	ekusiadadus	15579.337388125885
23	aquaCS	15475.285490728127
24	matsu7874	15467.925645331799
25	RTnF	15422.34245494461
26	cympfh	15214.162673123028
27	titia	15097.986971579707
28	sh_mug	15000.555103312201
29	toku	14997.293979599286
30	remin	14971.680958806093
31	siro53	14966.967850831727
32	uwi	14872.907589242581
33	jjjjjjjtgpptmjj	14835.09258460795
34	sumoru	14757.546912300077
35	Inaniwa	14572.44111378156
36	KKT89	14566.076452857043
37	hamap	14420.525467226254
38	phocom	14349.830146525273
39	AT274	14334.676430210533
40	to-hutohu	14299.223917084726
41	tsukasa_diary	14259.437152912458
42	nrvft	14252.95983469871
43	ichyo	14146.228201055616
44	Hyado	14071.118634961822
45	fujiyama	14030.736623165152
46	hoshi524	14030.443899967018
47	hpns2592	13813.298263389384
48	monnu	13482.140128142024
49	judgelaw	13082.213459298428
50	bowwowforeach	13044.854535130882
51	fura2	12967.652780435841
52	montplusa	12923.16570180543
53	fkyrz_	12694.637387251954
54	Nekomimimi	12337.131815041364
55	shr	12027.840144995669
56	gobi	11891.350319120356
57	shamio	11613.021177553033
58	daisyo	11578.814916754643
59	reg7777	11377.011040021953
60	ChiyosBigDragon	11246.273739430486
61	TumoiYorozu	10824.412595292004
62	tashikani	10755.446364693811
63	NOSS	10733.168637909981
64	unsre	10722.558502148499
65	hitonanode	10274.990966568686
66	Tiramister	10155.012505473143
67	fmhr	9917.812280912729
68	EvbCFfp1XB	8707.6041555667143
69	yowa	8237.343248818328
70	mashamo	8020.9456633606378
71	Kuri174	7456.9689006060253
72	koyumeishi	7356.8747449439461
73	siman	7258.0299571977712
74	spady	7190.9761126543872
75	n0ma_ru	6548.5101414251676
76	nasadigital	6512.8815583932028
77	kzyKT	5877.10066626551
78	near12	5794.4365395638033
79	y_kawano	5668.9226302993966
80	MihonoBourbon	5519.4704081579121
81	bin101	5278.8108193170738
82	tsukammo	5071.1243999391872
83	btk15049	4671.3880895566563
84	ganmodokix	1988.1659223049878
85	iwashi31	1847.1845373492581
86	__math	1671.2683736421973
87	wquaduqda	1515.3662697733
88	yamunaku	1364.4086299216692
89	primenumberzz	1308.1100040402162
90	mono_0812	1282.976768448226
91	wat_shun	1275.9798669419374
92	ngng628	1022.2229062227143
93	fgwiebfaoish	871.78267931304481
94	lemondo	842.73344810734625
95	nesya	501.16012013517025
96	daiju	43.859449185405595
97	kazupon	26.653063861353388
98	yako	18.097230809419575
99	Strorkis	9.9860172738825312
100	ganariya	8.7965270795769381
101	brthyyjp	3.0093872683137808
102	WA_TLE	1.8627316038180972
103	kaede2020	0.55697201737045998
104	fud	0.29531289058484372
105	se1ka2	0.022046975934074453
106	banana111	5.9796810438131233e-06
